Job_ID,Start_Time,End_Time,CPU_Allocated,GPU_Allocated,CPU_Ratio,GPU_Ratio
616,115.0,,128,1,1.0000,0.0625
617,53.0,,128,0,1.0000,0.0000
618,81.0,,128,4,1.0000,0.2500
619,81.0,,128,2,1.0000,0.1250
620,81.0,,128,4,1.0000,0.2500
621,17.0,,128,4,1.0000,0.2500
622,17.0,,128,2,1.0000,0.1250
623,56.0,,128,2,1.0000,0.1250
624,56.0,,128,1,1.0000,0.0625
625,108.0,,128,1,1.0000,0.0625
626,108.0,,128,4,1.0000,0.2500
627,117.0,,128,1,1.0000,0.0625
628,117.0,,128,0,1.0000,0.0000
629,117.0,,128,2,1.0000,0.1250
630,26.0,,128,0,1.0000,0.0000
631,26.0,,128,4,1.0000,0.2500
632,26.0,,128,4,1.0000,0.2500
633,74.0,,128,1,1.0000,0.0625
634,67.0,,128,4,1.0000,0.2500
635,117.0,,128,4,1.0000,0.2500
636,117.0,,128,2,1.0000,0.1250
637,5.0,,128,0,1.0000,0.0000
638,5.0,,128,0,1.0000,0.0000
639,21.0,,128,2,1.0000,0.1250
640,21.0,,128,1,1.0000,0.0625
641,19.0,,128,4,1.0000,0.2500
642,19.0,,128,1,1.0000,0.0625
643,40.0,,128,0,1.0000,0.0000
644,40.0,,128,2,1.0000,0.1250
645,44.0,,128,1,1.0000,0.0625
646,44.0,,128,1,1.0000,0.0625
647,44.0,,128,4,1.0000,0.2500
648,72.0,,128,1,1.0000,0.0625
649,89.0,,128,4,1.0000,0.2500
650,89.0,,128,4,1.0000,0.2500
651,89.0,,128,1,1.0000,0.0625
652,89.0,,128,1,1.0000,0.0625
653,101.0,,128,0,1.0000,0.0000
